TIME,GEO,Value
2018M05,Latvia,7.7
2018M05,Lithuania,6.1
2018M05,Luxembourg,5.6
2018M05,Hungary,3.7
2018M05,Malta,3.8
2018M05,Netherlands,3.9
2018M05,Austria,4.8
2018M05,Poland,3.8
2018M05,Portugal,7.1
2018M05,Romania,4.3
2018M05,Slovenia,5.4
2018M05,Slovakia,6.8
2018M05,Finland,7.6
2018M05,Sweden,6.3
2018M05,United Kingdom,4.0
2018M05,Iceland,2.9
2018M05,Norway,3.9
2018M05,Turkey,10.6
2018M06,Belgium,6.1
2018M06,Bulgaria,5.4
2018M06,Czechia,2.3
2018M06,Denmark,5.1
2018M06,Germany (until 1990 former territory of the FRG),3.4
2018M06,Estonia,5.0
2018M06,Ireland,5.7
2018M06,Greece,19.3
2018M06,Spain,15.2
2018M06,France,9.0
2018M06,Croatia,8.4
2018M06,Cyprus,8.3
2018M06,Latvia,7.6
2018M06,Lithuania,6.1
2018M06,Luxembourg,5.6
2018M06,Hungary,3.7
2018M06,Malta,3.7
2018M06,Netherlands,3.9
2018M06,Austria,4.9
2018M06,Poland,3.8
2018M06,Portugal,6.9
2018M06,Romania,4.2
2018M06,Slovenia,5.3
2018M06,Slovakia,6.6
2018M06,Finland,7.5
2018M06,Sweden,6.3
2018M06,United Kingdom,4.0
2018M06,Iceland,2.8
2018M06,Norway,3.9
2018M06,Turkey,10.9
2018M07,Belgium,5.9
2018M07,Bulgaria,5.4
2018M07,Czechia,2.2
2018M07,Denmark,5.1
2018M07,Germany (until 1990 former territory of the FRG),3.4
2018M07,Estonia,5.2
2018M07,Ireland,5.7
2018M07,Greece,19.2
2018M07,Spain,15.0
2018M07,France,9.1
2018M07,Croatia,8.2
2018M07,Cyprus,8.2
2018M07,Latvia,7.3
2018M07,Lithuania,6.1
2018M07,Luxembourg,5.6
2018M07,Hungary,3.7
2018M07,Malta,3.6
2018M07,Netherlands,3.8
2018M07,Austria,4.9
2018M07,Poland,3.9
2018M07,Portugal,6.9
2018M07,Romania,4.2
2018M07,Slovenia,5.2
2018M07,Slovakia,6.5
2018M07,Finland,7.4
2018M07,Sweden,6.3
2018M07,United Kingdom,4.0
2018M07,Iceland,2.7
2018M07,Norway,3.8
2018M07,Turkey,11.1
2018M08,Belgium,5.7
2018M08,Bulgaria,5.3
2018M08,Czechia,2.2
2018M08,Denmark,5.0
2018M08,Germany (until 1990 former territory of the FRG),3.4
2018M08,Estonia,5.5
2018M08,Ireland,5.7
2018M08,Greece,19.0
2018M08,Spain,14.9
2018M08,France,9.1
2018M08,Croatia,8.0
2018M08,Cyprus,8.2
2018M08,Latvia,7.1
2018M08,Lithuania,6.0
2018M08,Luxembourg,5.7
2018M08,Hungary,3.8
2018M08,Malta,3.4
2018M08,Netherlands,3.9
2018M08,Austria,4.9
2018M08,Poland,3.9
2018M08,Portugal,6.9
2018M08,Romania,4.2
2018M08,Slovenia,5.0
2018M08,Slovakia,6.3
2018M08,Finland,7.2
2018M08,Sweden,6.3
2018M08,United Kingdom,4.0
2018M08,Iceland,2.7
2018M08,Norway,3.8
2018M08,Turkey,11.2
2018M09,Belgium,5.7
2018M09,Bulgaria,5.2
2018M09,Czechia,2.1
2018M09,Denmark,5.0
2018M09,Germany (until 1990 former territory of the FRG),3.4
2018M09,Estonia,5.7
2018M09,Ireland,5.7
2018M09,Greece,18.8
2018M09,Spain,14.8
2018M09,France,9.0
2018M09,Croatia,7.8
2018M09,Cyprus,8.1
2018M09,Latvia,7.0
2018M09,Lithuania,6.0
2018M09,Luxembourg,5.6
2018M09,Hungary,3.7
2018M09,Malta,3.5
2018M09,Netherlands,3.7
2018M09,Austria,5.0
2018M09,Poland,3.9
2018M09,Portugal,6.7
2018M09,Romania,4.1
2018M09,Slovenia,4.8
2018M09,Slovakia,6.2
2018M09,Finland,7.1
2018M09,Sweden,6.4
2018M09,United Kingdom,4.0
2018M09,Iceland,2.7
2018M09,Norway,3.8
2018M09,Turkey,11.5
2018M10,Belgium,5.7
2018M10,Bulgaria,5.0
2018M10,Czechia,2.1
2018M10,Denmark,5.0
2018M10,Germany (until 1990 former territory of the FRG),3.3
2018M10,Estonia,5.3
2018M10,Ireland,5.7
2018M10,Greece,18.6
2018M10,Spain,14.7
2018M10,France,8.9
2018M10,Croatia,7.6
2018M10,Cyprus,7.9
2018M10,Latvia,7.0
2018M10,Lithuania,6.0
2018M10,Luxembourg,5.5
2018M10,Hungary,3.7
2018M10,Malta,3.6
2018M10,Netherlands,3.7
2018M10,Austria,4.9
2018M10,Poland,3.8
2018M10,Portugal,6.6
2018M10,Romania,4.1
2018M10,Slovenia,4.6
2018M10,Slovakia,6.1
2018M10,Finland,7.0
2018M10,Sweden,6.4
2018M10,United Kingdom,4.0
2018M10,Iceland,2.7
2018M10,Norway,3.7
2018M10,Turkey,11.8
2018M11,Belgium,5.8
2018M11,Bulgaria,4.8
2018M11,Czechia,2.0
2018M11,Denmark,5.1
2018M11,Germany (until 1990 former territory of the FRG),3.3
2018M11,Estonia,4.6
2018M11,Ireland,5.6
2018M11,Greece,18.5
2018M11,Spain,14.5
2018M11,France,8.8
2018M11,Croatia,7.5
2018M11,Cyprus,7.7
2018M11,Latvia,7.0
2018M11,Lithuania,6.0
2018M11,Luxembourg,5.4
2018M11,Hungary,3.7
2018M11,Malta,3.6
2018M11,Netherlands,3.5
2018M11,Austria,4.7
2018M11,Poland,3.8
2018M11,Portugal,6.6
2018M11,Romania,4.0
2018M11,Slovenia,4.5
2018M11,Slovakia,6.0
2018M11,Finland,6.9
2018M11,Sweden,6.5
2018M11,United Kingdom,3.9
2018M11,Iceland,2.8
2018M11,Norway,3.7
2018M11,Turkey,12.3
2018M12,Belgium,5.7
2018M12,Bulgaria,4.7
2018M12,Czechia,2.0
2018M12,Denmark,5.1
2018M12,Germany (until 1990 former territory of the FRG),3.3
2018M12,Estonia,4.2
2018M12,Ireland,5.5
2018M12,Greece,18.5
2018M12,Spain,14.4
2018M12,France,8.7
2018M12,Croatia,7.4
2018M12,Cyprus,7.6
2018M12,Latvia,6.9
2018M12,Lithuania,6.0
2018M12,Luxembourg,5.3
2018M12,Hungary,3.6
2018M12,Malta,3.7
2018M12,Netherlands,3.6
2018M12,Austria,4.7
2018M12,Poland,3.8
2018M12,Portugal,6.6
2018M12,Romania,4.0
2018M12,Slovenia,4.4
2018M12,Slovakia,5.9
2018M12,Finland,6.7
2018M12,Sweden,6.5
2018M12,United Kingdom,3.8
2018M12,Iceland,2.9
2018M12,Norway,3.7
2018M12,Turkey,12.9
2019M01,Belgium,5.6
2019M01,Bulgaria,4.7
2019M01,Czechia,2.0
2019M01,Denmark,5.2
2019M01,Germany (until 1990 former territory of the FRG),3.2
2019M01,Estonia,4.2
2019M01,Ireland,5.2
2019M01,Greece,18.4
2019M01,Spain,14.3
2019M01,France,8.7
2019M01,Croatia,7.3
2019M01,Cyprus,7.6
2019M01,Latvia,6.8
2019M01,Lithuania,6.0
2019M01,Luxembourg,5.2
2019M01,Hungary,3.5
2019M01,Malta,3.7
2019M01,Netherlands,3.6
2019M01,Austria,4.8
2019M01,Poland,3.8
2019M01,Portugal,6.5
2019M01,Romania,3.9
2019M01,Slovenia,4.5
2019M01,Slovakia,5.9
2019M01,Finland,6.7
2019M01,Sweden,6.6
2019M01,United Kingdom,3.8
2019M01,Iceland,3.0
2019M01,Norway,3.6
2019M01,Turkey,13.3
2019M02,Belgium,5.5
2019M02,Bulgaria,4.7
2019M02,Czechia,2.0
2019M02,Denmark,5.2
2019M02,Germany (until 1990 former territory of the FRG),3.2
2019M02,Estonia,4.4
2019M02,Ireland,5.1
2019M02,Greece,18.3
2019M02,Spain,14.2
2019M02,France,8.7
2019M02,Croatia,7.2
2019M02,Cyprus,7.5
2019M02,Latvia,6.6
2019M02,Lithuania,6.0
2019M02,Luxembourg,5.4
2019M02,Hungary,3.4
2019M02,Malta,3.7
2019M02,Netherlands,3.4
2019M02,Austria,4.7
2019M02,Poland,3.8
2019M02,Portugal,6.5
2019M02,Romania,3.9
2019M02,Slovenia,4.5
2019M02,Slovakia,5.9
2019M02,Finland,6.7
2019M02,Sweden,6.6
2019M02,United Kingdom,3.7
2019M02,Iceland,3.1
2019M02,Norway,3.6
2019M02,Turkey,13.6
2019M03,Belgium,5.5
2019M03,Bulgaria,4.5
2019M03,Czechia,2.1
2019M03,Denmark,5.1
2019M03,Germany (until 1990 former territory of the FRG),3.2
2019M03,Estonia,4.1
2019M03,Ireland,5.0
2019M03,Greece,18.0
2019M03,Spain,14.2
2019M03,France,8.6
2019M03,Croatia,7.0
2019M03,Cyprus,7.6
2019M03,Latvia,6.4
2019M03,Lithuania,6.1
2019M03,Luxembourg,5.6
2019M03,Hungary,3.4
2019M03,Malta,3.7
2019M03,Netherlands,3.3
2019M03,Austria,4.7
2019M03,Poland,3.6
2019M03,Portugal,6.5
2019M03,Romania,3.8
2019M03,Slovenia,4.4
2019M03,Slovakia,5.8
2019M03,Finland,6.7
2019M03,Sweden,6.7
2019M03,United Kingdom,3.7
2019M03,Iceland,3.2
2019M03,Norway,3.6
2019M03,Turkey,13.7
2019M04,Belgium,5.5
2019M04,Bulgaria,4.3
2019M04,Czechia,2.1
2019M04,Denmark,5.1
2019M04,Germany (until 1990 former territory of the FRG),3.2
2019M04,Estonia,4.8
2019M04,Ireland,5.0
2019M04,Greece,17.8
2019M04,Spain,14.2
2019M04,France,8.5
2019M04,Croatia,6.8
2019M04,Cyprus,7.5
2019M04,Latvia,6.3
2019M04,Lithuania,6.1
2019M04,Luxembourg,5.7
2019M04,Hungary,3.4
2019M04,Malta,3.5
2019M04,Netherlands,3.3
2019M04,Austria,4.7
2019M04,Poland,3.4
2019M04,Portugal,6.6
2019M04,Romania,3.9
2019M04,Slovenia,4.4
2019M04,Slovakia,5.8
2019M04,Finland,6.7
2019M04,Sweden,6.7
2019M04,United Kingdom,3.7
2019M04,Iceland,3.3
2019M04,Norway,3.6
2019M04,Turkey,13.8
2019M05,Belgium,5.5
2019M05,Bulgaria,4.1
2019M05,Czechia,2.1
2019M05,Denmark,5.0
2019M05,Germany (until 1990 former territory of the FRG),3.1
2019M05,Estonia,5.0
2019M05,Ireland,5.0
2019M05,Greece,17.5
2019M05,Spain,14.2
2019M05,France,8.5
2019M05,Croatia,6.7
2019M05,Cyprus,7.4
2019M05,Latvia,6.4
2019M05,Lithuania,6.2
2019M05,Luxembourg,5.7
2019M05,Hungary,3.5
2019M05,Malta,3.4
2019M05,Netherlands,3.3
2019M05,Austria,4.6
2019M05,Poland,3.3
2019M05,Portugal,6.6
2019M05,Romania,3.9
2019M05,Slovenia,4.4
2019M05,Slovakia,5.7
2019M05,Finland,6.7
2019M05,Sweden,6.8
2019M05,United Kingdom,3.8
2019M05,Iceland,3.4
2019M05,Norway,3.6
2019M05,Turkey,13.9
2019M06,Belgium,5.4
2019M06,Bulgaria,4.0
2019M06,Czechia,2.1
2019M06,Denmark,4.9
2019M06,Germany (until 1990 former territory of the FRG),3.1
2019M06,Estonia,4.6
2019M06,Ireland,5.0
2019M06,Greece,17.3
2019M06,Spain,14.2
2019M06,France,8.5
2019M06,Croatia,6.6
2019M06,Cyprus,7.2
2019M06,Latvia,6.4
2019M06,Lithuania,6.3
2019M06,Luxembourg,5.7
2019M06,Hungary,3.4
2019M06,Malta,3.4
2019M06,Netherlands,3.4
2019M06,Austria,4.5
2019M06,Poland,3.2
2019M06,Portugal,6.6
2019M06,Romania,3.9
2019M06,Slovenia,4.6
2019M06,Slovakia,5.8
2019M06,Finland,6.7
2019M06,Sweden,6.8
2019M06,United Kingdom,3.8
2019M06,Iceland,3.4
2019M06,Norway,3.7
2019M06,Turkey,14.0
2019M07,Belgium,5.3
2019M07,Bulgaria,4.0
2019M07,Czechia,2.1
2019M07,Denmark,4.9
2019M07,Germany (until 1990 former territory of the FRG),3.1
2019M07,Estonia,4.3
2019M07,Ireland,5.0
2019M07,Greece,17.2
2019M07,Spain,14.2
2019M07,France,8.5
2019M07,Croatia,6.6
2019M07,Cyprus,7.0
2019M07,Latvia,6.3
2019M07,Lithuania,6.3
2019M07,Luxembourg,5.7
2019M07,Hungary,3.4
2019M07,Malta,3.3
2019M07,Netherlands,3.4
2019M07,Austria,4.5
2019M07,Poland,3.2
2019M07,Portugal,6.5
2019M07,Romania,3.9
2019M07,Slovenia,4.8
2019M07,Slovakia,5.8
2019M07,Finland,6.8
2019M07,Sweden,6.8
2019M07,United Kingdom,3.8
2019M07,Iceland,3.4
2019M07,Norway,3.7
2019M07,Turkey,14.1
2019M08,Belgium,5.2
2019M08,Bulgaria,3.9
2019M08,Czechia,2.1
2019M08,Denmark,5.0
2019M08,Germany (until 1990 former territory of the FRG),3.1
2019M08,Estonia,4.0
2019M08,Ireland,4.9
2019M08,Greece,17.1
2019M08,Spain,14.2
2019M08,France,8.5
2019M08,Croatia,6.5
2019M08,Cyprus,6.8
2019M08,Latvia,6.2
2019M08,Lithuania,6.4
2019M08,Luxembourg,5.6
2019M08,Hungary,3.4
2019M08,Malta,3.3
2019M08,Netherlands,3.5
2019M08,Austria,4.5
2019M08,Poland,3.1
2019M08,Portugal,6.4
2019M08,Romania,3.9
2019M08,Slovenia,4.9
2019M08,Slovakia,5.8
2019M08,Finland,6.8
2019M08,Sweden,6.9
2019M08,United Kingdom,3.8
2019M08,Iceland,3.5
2019M08,Norway,3.8
2019M08,Turkey,14.1
2019M09,Belgium,5.2
2019M09,Bulgaria,4.0
2019M09,Czechia,2.1
2019M09,Denmark,5.0
2019M09,Germany (until 1990 former territory of the FRG),3.1
2019M09,Estonia,4.3
2019M09,Ireland,4.8
